pred,true,score
qdyrlkdx,qqyrlkdx,7
isagdcwq,ifagdpwq,6
feooiwcc,seooiwcc,7
dwrcwrnx,djrcwrnx,7
crmsncvt,crmsncvt,8
yfcjvxdp,lfcjvxdp,7
ensyegpu,ensyegpu,8
ctbmtojd,ctbmtbjd,7
cjyvrvsu,cwlvrvsu,6
gmfsbiwe,gzfsbiwe,7
pgtbqrpr,pgtbqrpr,8
xxmvomnt,kxzvomnt,6
gmjpxybm,gzjpxybm,7
wzswawtv,wmswawtv,7
qvlghreb,dvlghreb,7
qrqgiljh,qeqgiljh,7
ppwevtwm,pcwevtwm,7
tlntyzpf,tyntyzpf,7
dvbijniv,qioijniv,5
dvtakmon,qvtakmon,7
youpxjkz,loupxjkz,7
gpsrkhqi,gpsrkhqi,8
nepsxfrj,aepfxfrj,6
gpoquzbp,gcoquzbp,7
hesokajx,hefbkajx,6
jxmfgkss,jxmsgkss,7
xaonwkng,kaonwkng,7
agxoyyoq,ntxoyyoq,6
rvccxaov,rvccxaov,8
hsxpxfxq,hfxcxfxq,6
rkquogpm,rkquogpm,8
nuqlnwar,nuqlnwar,8
tyjtsrse,tyjtsrse,8
tnnzbuts,tnnzbutf,7
cifvuoqf,cifvuoqf,8
qorivhjw,qorivhjw,8
ejdkdowv,ewdkdowv,7
hidcubpe,hidcubpe,8
rnmmwipi,rammwipi,7
dddktene,dddktene,8
gueidhxb,tueidhxb,7
xaoutguo,knoutguo,6
vsukgvcc,isukgvcc,7
weikokfr,weikokfr,8
sdzdvnxz,sqzdvnxz,7
nhxavibe,nhkavibe,7
dbxlnprt,doxlnprg,6
bicdpfhj,oicdpfhj,7
nlstowto,nlstowto,8
ddamrclr,dqamrclr,7
kreamdtz,xreamdtz,7
sofjgtai,fosjgtai,6
rdwelsse,edjelsse,6
qsofwsfz,dsofwsfz,7
svkjazcc,fikjazcc,6
rqyvyfwr,rdyvyfwr,7
ojmtbqqb,ojmtbqqb,8
pquovotp,pquovotp,8
hhuqjtba,uuuqjtba,6
sntgghcq,fntgghcq,7
dscransu,dscransu,8
ygmbqgea,ytmbqgea,7
hytgspfv,uyggspfv,6
vdsmtexx,vqsmtexx,7
pxdtakce,pkdtakce,7
clfxeggv,cyfxeggv,7
nccsxnxa,accsxnxa,7
vinoyylu,vinoyylu,8
udsrbwcx,hqsrbwcx,6
dponukwg,dconukwg,7
qqjvicgs,dqjvicgs,7
udvtmjup,uqvtmyup,6
xsbuahhp,xfbuahhp,7
wjrwbxgl,jjrwbxgl,7
ribtliyq,rvbtliyq,7
ipuzyegs,ipuzyegs,8
ulgfxaqo,uygfxaqo,7
mipkjoct,mickjoct,7
xrkqtzdf,krkqtzdf,7
egmnyslx,rgmnyslx,7
wejnzwup,jejnzwup,7
zyocdnca,zyocdnca,8
mhqbszdw,mhqbfzdw,7
avjspejj,avjspejj,8
hcsvdzpt,ucsvdzpt,7
uvlblrag,hvlblrag,7
fjbcingf,fwocingf,6
mqrfqsea,zqrfqsea,7
sinusrdd,fvnusrdd,6
ilyldjql,vyyldjql,6
vqkghfzo,vdkghfzo,7
tefavnpc,trfavnpc,7
dqlkfakf,qqlkfakf,7
kziueoqd,kziueoqd,8
qvepjyaq,qiepjyaq,7
vexxdupb,iexxdupb,7
mdjsvmzw,zdjsvmzw,7
hbnabqfi,uonabqfi,6
ptjxrvgm,ptjxrvgm,8
welxjurd,weyxjurd,7
jxjbkrfx,jkjbkrfx,7
yestitai,yestvtai,7
gqtbszjh,gdtbszjh,7
plfsemsw,plfsemsw,8
rafdntvy,rafdntvy,8
gipmwnmc,tvpmwnmc,6
heqakxml,urqakxml,6
bcwfdqtf,ocjfdqtf,6
qoncpeil,qoacpeil,7
lhnabpdn,yhnabpdn,7
snggbmrx,faggbmrx,6
etjwvvef,rtjwvvef,7
wskhbuav,wfkhbhav,6
hzwgongv,hmwgongv,7
lvkigpwx,likigpwx,7
rzmntzvk,rmmntzvk,7
spclribp,fpclribp,7
ptkxzdbf,ptkxzdbf,8
oarzwzqs,onrzwzqs,7
dohlgyzb,qbhlgyzb,6
ippxeebt,ippxeebt,8
uocrqlis,ubcrqlis,7
gtodmxuy,gtodmxuy,8
clprrwqp,clprrwqp,8
tlkilpza,tlkilqza,7
rvrgjhbh,evegjhbh,6
gcnusnpf,gcnusnpf,8
hbubbkhg,houbbkhg,7
iqzyhslc,iqzyhslc,8
qvbcmonx,dvbcmonx,7
plaqjvrb,pynqjvrb,6
rcsevtqg,rcsevtqg,8
dykwvvwr,qykwvvwr,7
xvcgscgb,kvcgscgb,7
jzxlnwcr,jmxlnwcr,7
suieugtm,shieugtm,7
roglecca,roglecca,8
amozkppg,amozkppg,8
xurdyhzi,xhrdyhzi,7
asajvnos,asajvnos,8
hbbnrtou,hobartou,6
bscixepf,bscixepf,8
paazdohy,paazdohy,8
tijczgng,gijcztng,6
lufwuwcf,lhfwuwcs,6
wuyioffi,whyioffi,7
ggearbyj,ggearbyj,8
wxxzzkkb,wxxzzkkb,8
wssmdtio,wffmdtio,6
cpekbzuj,pprkbzuj,6
oanfxhmc,bansxhmc,6
vpxcprme,vpkpprme,6
swkxmudv,fwkxmudv,7
qndtgmrx,qndtgmrx,8
kpyibwvm,xpyibwvm,7
hkqszkho,ukqszkho,7
qzwjuhkm,dmjjuhkm,5
hfhdpkgi,hfhdpkgi,8
sbwwiwnx,fbwwiwnx,7
xemipnba,xemipnoa,7
pilpyooc,pilpyooc,8
rkpwcznc,ekpjcznc,6
bhxdhtqc,bhxdhtqc,8
wwanzxkg,wwanzxkg,8
rcrnfveg,ecenfveg,6
xxbcbiyk,xkbcbiyk,7
aftppjkd,aftppjkd,8
khhbsbhk,kuhbsbhk,7
hjbdoqyy,ujbdoqyy,7
gormbvxk,tbrmbvxk,6
nxhcirkn,nkhcirkn,7
uacqycqi,uacqycqi,8
xdnnaegc,xqnnaegc,7
rifrjqmj,eifejqmj,6
zwjcropj,zwjcropj,8
okytscwz,okytscwz,8
uhivnvgq,hhivnvgq,7
smgtjoqf,fmgtjoqf,7
mhypvblt,zhypvblt,7
dhstiscl,dhstiscl,8
nmmfwifi,nmmfwisi,7
dhdlawgz,qudlawgz,6
zcdgpqia,mcdgcqia,6
rptdirmq,rptdirlq,7
jdkoywtk,jqxoywtk,6
hhkilsgz,hukvlsgz,6
zjzeltjr,mwzeltje,5
lcsfunjr,lcsfunjr,8
udlyxcwj,uqlyxcwj,7
akxafyye,axxafyye,7
zymmlfxj,zymmlfxj,8
vnxsbwgo,vaxsbwgo,7
qnhgcowz,daugcowz,5
lvinfqcw,liinfqpw,6
bknrskjd,bknrskjd,8
rvhspiee,rihspiee,7
gppezzci,gppezzci,8
smolpxup,szblpxup,6
vlkruyhr,vyxruyhr,6
bfmtdwwq,bfmtdwwq,8
qrwkxjbt,qrwkxjrt,7
vmuegins,izuegins,6
sivzckki,svvzckki,7
ikkibyol,ikkibyol,8
nclfxofi,nclfxofi,8
dsgbyfml,dfgbyfml,7
xshhbxiq,kshhbxiq,7
ekcqfzjy,ekpqfojy,6
dsnwnngt,qsawnngt,6
ihlxsefb,ihlxsefb,8
iuvlpmbt,iuvlpmbt,8
iijipinj,vijipinj,7
syrshech,fyrshedh,6
gnskhyck,gasvhyck,6
emvayrej,ezvayrej,7
otgbkmdq,oggbkmdq,7
onglpgpc,bnglpgpp,6
zwunhlps,zwunhlps,8
dsaapklp,qfaapklp,6
bxxlcwta,bxxlcwta,8
wgzlembq,wgzlembq,8
kkhvxscu,kkuvxscu,7
pkvmtcqb,pxvmtcqb,7
dktjiaam,qxtjiaam,6
fiewphrd,fiewphrd,8
gfwuxjty,tswhxjty,5
qdnfvvnz,qqnfvvnz,7
rujnyhge,rujnyhge,8
qnlbrvai,qalbriai,6
tzyylezk,gmyylezk,6
hvbbpeqt,ugobpeqg,4
smogrdja,smogrdja,8
wfpnjsrh,wspnjsrh,7
uhrjlsmh,hurjlsmh,6
ljqswfxl,ywqswfxl,6
rrrtfmka,errgfmka,6
zsssknsc,msssknsc,7
fodnmgso,fbdnlgso,6
woafbtdt,woafbtdt,8
mgbexrxp,mtbexrxp,7
shcvyjzk,shcvyjmk,7
grdfmvqa,grdfmvqa,8
jmpgusxx,wmpgusxx,7
vbsancfh,vosancfh,7
imzdqokz,imzdqokz,8
xrmhyjrp,xemhyjrp,7
cixdygkg,pixdygkg,7
zljcrude,zljcrude,8
gnlabonb,tnlaoonb,6
uxgcueor,uxgcueor,8
jdikfgns,jdikfgns,8
tjobocrp,gjobocrp,7
hwacykyr,hwacykyr,8
anupbmvu,anupbmvu,8
mijkfjfo,miwkfjfo,7
lbbcetne,lobcetne,7
gzgvcvil,gzgvdvil,7
abnrlthi,abnrlthi,8
ipvbmtat,vpvbmtat,7
ptnjhnta,pgnjhnta,7
fqnvmjtv,sdnvmjtv,6
jwemrhiu,jwemrhiu,8
qmidanwj,qmvdanwj,7
lltdqrta,yytdqrta,6
jasnvzxt,wasnvzxt,7
ybmjxvww,lbmjxvww,7
ugrzhext,utrchext,6
ltbwapxc,lgbwapxc,7
yqzjonrs,yqzjonrs,8
qgambxwt,dtambxwt,6
dcafmzoz,qcafmzoz,7
kvqbuntu,kiqbuntu,7
lqyijyap,ldyijyap,7
vacxwzyh,vacxwzxh,7
mxjbqjyg,mxjbqjyg,8
fsztcgcb,ssztcgcb,7
nobsrtsc,nobsrtsc,8
zfizmiml,zfizmiml,8
ftmhdpge,ftmhdpge,8
aoyypofl,abyypofl,7
gqeibrdk,gqeibrdk,8
lgdaurza,ytdaurza,6
xapxmfuh,kapxmfuh,7
pzejwgcw,pmejwhcw,6
zcsfeqds,zpffeqds,6
beguklpt,brguklpt,7
fdlbhqpo,sdlbhqpo,7
wmswmuwr,jmswmuwr,7
bokjwlvv,ookwwlvv,6
tdrdabgc,tqrdabgc,7
gbhsbail,gohsbail,7
uroodkrd,heoodkrd,6
rapqbvay,racqbvay,7
zplzkcop,zplzkcop,8
tlsgqmch,tlsgdmch,7
vyxmyont,iyxmyont,7
segtopks,segtopxs,7
xebgvcgb,kebgvcgb,7
ogkipnry,ogkipnry,8
nycvlucp,nycvlucp,8
qdmvcbyl,ddmvcbyl,7
azcrkccm,azcrkccm,8
hyknzywu,uyknzywu,7
qmxhcwit,qmxhcwit,8
kbhzpabu,kbuzpabu,7
sdixwcnm,sdvxwcam,6
hfawpdxl,ufawpdxl,7
yiskrjhu,lisxrjhu,6
zpzspmgn,zpmspmgn,7
onjusbok,oajusbok,7
pawzbukd,pawzbukd,8
fnfdvjeu,fnfdvjeu,8
fquqqgsq,squqqgsq,7
smpagddx,smpagddx,8
ljdpdmep,lwqpdmep,6
fihmqtdn,fvhmqtdn,7
aubgzsot,auoqzsot,6
hbxprrym,hbxprrym,8
kbwrirum,kbwrirum,8
lsrzzupn,lfrzzupn,7
lqalxthb,ldalxthb,7
lcaajzva,lpaajzva,7
pipfhczq,pipfhczq,8
pnspwomb,pnspwomb,8
wljswfky,jljswfky,7
mrxmskbd,mexmskbd,7
pfgrsykb,pfgrsykb,8
vndgmsxf,iadgmsxf,6
dwemnxjg,djemnxjg,7
vukybpsm,vukybpsm,8
vejwmlet,iejwmlrt,6
gcehwvma,tcehwvma,7
vykjgtsf,vlxjgtsf,6
iirkqthe,ivrkqthe,7
pcihhamp,pcihhamp,8
cozibqqx,pbzibqqx,6
yndifvkf,lnqifvkf,6
zzyaalme,mmlaalme,5
flfzdukd,slfzdukd,7
smngweko,smngweko,8
emjndayd,ezjndayd,7
rqepsuvz,rqrpsuvz,7
izxhmkov,imxhmkov,7
krtknsyi,krtknsyi,8
ctzgrqao,ctmgrqao,7
aaqywice,aaqywice,8
kmopgtrm,kmopgtrm,8
windddor,wvndddor,7
pqenbspk,pqenbspk,8
rypdsmpa,rlpdsmpa,7
wfydwrui,wfldwrui,7
rjrugbal,ejrugbal,7
mzjplwkx,mzjplwkx,8
iwbsdwzu,iwosdwzu,7
nnswwjpu,answwjpu,7
rphafbkr,rphafbkr,8
ohywzqgd,ouywzqgd,7
cqygnxyc,pqygnxyc,7
qscaxwlf,dscaxwlf,7
fzgtqoru,fzgtqoru,8
hbyzjxnt,hbyzjxnt,8
rvdtlpnr,ridtlpne,6
rfekodiv,rsekodiv,7
fhpnfxbj,fhpnfxbj,8
ozejuzpr,ozejuzpr,8
avptvvvd,aiptvvvd,7
ftwkhweb,sgjkhweb,5
pfpfhgmz,cscfhgzz,4
dkaaoepp,dxaaoepp,7
ilnddvom,iynqdvoz,5
obprwmyz,bbprwmyz,7
wmnnopzd,jmnnopzd,7
cyhvlxmi,plhvlxmi,6
buccftqc,bupcftqc,7
vyqjhhyj,vyqjhhyj,8
uivrwyps,uiirwyps,7
xtgsotpg,xggsotpg,7
qrmkzpyu,qrmkzpyu,8
jftheqic,jstheqic,7
rovbwkjb,ebvbwkjb,6
qsijtsga,qsijtsga,8
fwemzesl,swemzesl,7
xroswwio,xroswwio,8
iqolhfzt,iqolhfzt,8
gtgryjlh,gtgryjlh,8
jqtwqjxe,jqtwqjxe,8
wumgjxuj,wumgjkuj,7
rtktdetx,egxtdetx,5
kcudvbmn,kpudvbmn,7
lqrxqqsl,ldrxqqsl,7
jreoshug,jreoshug,8
nkqaudkb,nkqaudkb,8
ikjsbfyr,vxwsbfyr,5
mdudnmvw,zqudnzvw,5
fvhescka,fvhescka,8
hauhbpwg,unusbpwg,5
vchnrtsv,vchnrtsv,8
slulmxfu,flulmxfu,7
rnifqwfa,rnifqwfa,8
tpuizpgl,tpuizpgl,8
ypnbauzg,ycnbauzg,7
qdtspscm,qdtspscm,8
oztxhqss,omtxhqss,7
uzpyohkq,hzpyohkq,7
qvjcvzok,qvjcvzok,8
xmdbwyul,kmdbwyul,7
llffjtmg,llffjtmg,8
uawtybpe,hnwtybpe,6
mzjtrnwp,zmjtrnwp,6
ykcjeggk,ykcjegtk,7
adwvojgk,adwvojgk,8
kvynjlpr,xvynjlpr,7
agdrqeed,agdrqeed,8
bsldlhra,ofldlhra,6
yfxtoift,lsxtoift,6
pdelyphs,cqelyphs,6
beuhhfpi,beuhhfpi,8
aspixmev,nscvxmev,5
bxcpvpjj,okcpvpjj,6
yqzitggs,ydzitggs,7
fpiizfvq,fpiizfvq,8
bmlbqcfx,ozlbqcfx,6
pspqsunj,pspdsunj,7
ldxqghfe,lqxqghfe,7
nbkqtaak,abkqtaak,7
cuugldkl,cuugldkl,8
vancoajo,vancoajo,8
mrqdeguk,mrqdeguk,8
gntviyzv,gntviyzv,8
pwanhmdb,cwanhmdb,7
vgnydckd,itnyqckd,5
hmxuvtwg,hmxuvtwg,8
vhcbipcr,vhpbipcr,7
ppinidgr,ppinidgr,8
vpkzblbb,vpkzblbb,8
coucprjq,coucprjq,8
oygldyhh,blgldyhh,6
jgdunnys,jgdunnys,8
jswqagwt,jswqagwt,8
nvwuzivn,nijuzivn,6
sadjstuc,sndjstuc,7
gczhvard,gczhvnrd,7
pfifapjz,cfifapjz,7
ncfouxud,acsbuxud,5
qcutdady,qcugdady,7
dkirrybk,dkirrybk,8
kcxxsfdy,kcxxsfdy,8
yldfncxz,yldfccxz,7
zgvnraws,mgvnraws,7
vsdpyiwz,isqpyiwz,6
kdsdwnci,kdsdwnci,8
nbdwssxc,abdwssxc,7
utumqaxp,htumqaxp,7
opgwbydc,ocgwbydc,7
cdpybfnf,cdpybfnf,8
vzlzgwxs,vzlzgwxs,8
nngpantj,natpantj,6
flkwblwu,fykwblwu,7
xpetuxvi,xpetuivi,7
mntvirkh,zntvirkh,7
exskiovk,exskibvk,7
ulyoeluh,ulyoeluh,8
mmparsal,mmparsal,8
dsozdupx,dfozdhpx,6
jcibnzor,jcibnzor,8
hvzyzzrz,hizyzzrz,7
tibqmmac,tibqzmac,7
djrtxqya,djrtxqya,8
zwfpcqsv,mwfpcqsv,7
gjodrjvi,gjodrjvi,8
jjdluxje,wwdluxje,6
jihyujyl,jihyujyl,8
eqfxoitc,eqfxoitc,8
fatdwlzs,satdwlzs,7
upbwdrmx,hpbwdrmx,7
weumngum,weuzngum,7
erphwzeo,erpujzeo,6
ybzlepag,lozlepag,6
ljmqykzx,ljmqykzx,8
hkftqkwj,ukstqkwj,6
lpqyulkq,lpqlhlkq,6
bmvdgeap,omvdgeap,7
dmmnlovs,qzmnlovs,6
vmbxtska,imbxtska,7
gskurttq,gskurttq,8
sukwpnfm,fhkwpnfm,6
zibzekns,mibzekns,7
pvhaqzax,cvhaqzax,7
wsotlikt,wfotlikt,7
drcewdki,drcewdki,8
dscvdegx,qfcvdegx,6
ddutyqno,ddutyqno,8
emkdunab,rmkqunab,6
vqdllkom,vddllkom,7
ppwgjolr,ccwgjoyr,5
hozomuvp,uomomuvp,6
rknqqhmg,rxnqqhmg,7
wqhsxotl,wdusxotl,6
ryhyvmcw,elhyvmcw,6
pxfrmeoc,ckfrmerc,5
msrlonut,mselonut,7
zpusdame,zchsdame,6
pgzwlagn,ptzwlagn,7
bldtjvzv,bldtjvzv,8
aqlanoqv,aqlanoqv,8
zbjphuzj,zbwpuuzw,5
guagsoiw,guagsoiw,8
sbkojrbo,fokbjrbo,5
eedkimhl,eedkimhl,8
lenirbwd,lrnirbwd,7
sdummhsw,sqummhsw,7
esyzkiry,eslzkiry,7
opjlczee,opjlczee,8
hkkijzbw,ukkijzbw,7
rasxrwqx,rasxrwqx,8
lpzolpmr,ypzblpyr,5
llefdkdp,llefdkdp,8
rmariwcg,rmariwcg,8
qlndcxva,dyndpxva,5
plxnsevp,plxntevp,7
mudtnmfl,mudtnmfl,8
fncmmlfe,fapmmlfe,6
bvthbotn,bvthbotn,8
uciusdyi,uciusdyi,8
qqjeutgr,dqjeutgr,7
fpyaozvd,fpyaozvd,8
cvxqfmgv,pvxqfmgv,7
ebkntmbg,ebkntmbg,8
iovyymbj,iovyymbj,8
agojgedp,ngojgedp,7
gvxvtajw,gvxvtajw,8
iuuchhoc,ihuchhoc,7
bzroggjb,omroggjb,6
suwppefx,fhwppefx,6
rpygqoht,rpygqoht,8
gandykub,gandykub,8
fbadfvpz,fbadfvpz,8
lrxuujaf,lexuujaf,7
hbnfsycx,hbassyck,5
weryiaoz,wrryiaoz,7
yymtdoif,ylmtdoif,7
yrfzxjwl,yrfzxjwl,8
aqnklzyt,aqnklzyt,8
jqfaktry,jdfaktey,6
uavxywdw,hnvxywdw,6
fbxuqikg,fbnuqikg,7
hmaapjxy,hzaapjxy,7
jnxwqrze,wnxwqrze,7
pxrfglxe,ckrfglxe,6
dehloelo,qehloelo,7
gngqisqr,gngqisqr,8
caznkuul,caznkuul,8
uxszbpuz,uxszbpuz,8
edshvauh,edshvauh,8
aqrnyplv,nqrnyplv,7
rgoglaoi,rtotlaoi,6
vjxjygsl,vjxjygsl,8
gkdvbfsu,gkdvbfsu,8
wrnqlcil,wenqlcil,7
mqournrl,mdournrl,7
mamvgsng,mamvgsng,8
xxvubbtg,xxiubbtg,7
jcfaxjia,jcfaxjia,8
wmujauvi,wmujauvi,8
bkpjoodi,okpjoodi,7
wzeubydd,wzeubydd,8
rosvzrgg,eosvzrgg,7
lgtymyks,lttymyks,7
jhjxkeut,jhjxkeut,8
czujorzy,cmujorzy,7
txickpsd,tkickpsd,7
llzyyxhn,lyzylxhn,6
rmtbarls,rmtbarqs,7
eevxrimp,ervxrimp,7
gebckfna,grbckfna,7
jincxcol,jvncxcol,7
twwczegh,tjwczegh,7
tfjjjuiz,tsjjjuiz,7
pipbafvn,pipbafvn,8
lpldqhbf,ycldqhbq,5
drftjtyy,drftjtyy,8
ocsjuxao,opsjuxao,7
hegfghxl,hegfghxl,8
cbkpslxm,cokpslxm,7
tfhulrny,gshulrny,6
lhjelvrp,yhjelvrp,7
wqvkrjwf,jdvkrjwf,6
xqahuukm,kqahuukz,6
vmhjedcf,vmhjedcs,7
fjksunvd,fjksunvd,8
iazubsqq,vazubfqq,6
eafhvrln,eafhvrln,8
iqrxhtxr,iqrxhtxr,8
alsqbofx,alsqbofx,8
jqxdmcxp,wdxdkcxp,5
yqmxypvy,ydmxlpvy,6
podthhtm,podthhtm,8
uiqfimsb,uidfimsb,7
peeelspz,peeelspz,8
azmkdjzn,azzkdjzn,7
uodkbteo,ubdkbteo,7
qwyfkpch,qwyfkpch,8
xuvqufip,xuvqufip,8
gdzvdxcf,gdzvdxcf,8
tsqhbudj,gsqhbudj,7
ccpeovwu,ccpeovwu,8
ntvrqrax,ntirqrax,7
vebrwudv,vebrwudv,8
bshtpqts,bshtpqts,8
wmvbzjbr,jzvbzjbr,6
olppgldr,olppgldr,8
fdzgzleg,fqzgzleg,7
amkbdnqb,nmkbdnqb,7
jalessgx,wnlessgx,6
pxfmlpcm,pkfmlpcm,7
ttxlmefr,tgxlmefr,7
vkbccgni,vkbccgni,8
kldifsar,kyqifsar,6
uvbbbbzg,uvbbbbzg,8
lvvurlud,lvvrrlhd,6
sgqrrwsu,sgdrrwsu,7
cxzzjbyy,pxmzjbyy,6
prxwykyk,prxwyxyk,7
rfnliciy,rsnliciy,7
hwsfndvj,uwffndvj,6
hvcsyzll,hvcsyzlx,7
ocozafoc,bcozafoc,7
bgwetfbv,bgwetfbv,8
ncfbuksf,npfbuksf,7
nyrejwax,ayrejwax,7
cyglqrbk,plglqrbk,6
lnwserbp,lajsrrbp,5
avknmzbb,avxnmzbb,7
vgadkail,igadkail,7
fidendto,sidendto,7
pyfiweje,pysiweje,7
uixhenhe,hixhenhr,6
fsczedmf,ffczedmf,7
lnaddnqq,lnaddaqq,7
nvtbcllw,nvgbcllw,7
tqlagsri,gdlagsri,6
qddyrblt,qddyrblt,8
kutzwbmn,kutzwbmn,8
vywcmnty,ilwcmnty,6
vfmuesxk,vszuesxk,6
jqzwdxnk,jdzwdxnk,7
mtofsysw,mtofsysw,8
ulsgjmzp,hysgjmzp,6
ymqtxijb,ymqtxijb,8
tvzdqfwy,tizdqfwy,7
yzabaydn,yzabaydn,8
ptbnrfmp,ctonrfmp,6
xvodmkct,xvodmkcd,7
wzlfqtqv,jzlfqtqv,7
oympgdye,olmpgdye,7
mzwvktyx,zzwvktyx,7
hlgzkash,hltzkash,7
mrqifqjb,mrqifqjb,8
qpzbirvs,dpzbirvs,7
abuwgyib,nouwgyib,6
gyoqfufu,gyoqfufu,8
ryyhtvpq,ryyhtvpq,8
pyuhnwfb,cyhhnwfb,6
auxaxdfo,auxaxdfo,8
tgeclusg,tgeclusg,8
fnmmovtx,fnmmovtx,8
uemkkybn,hrzkkybn,5
znnjkwam,mnajkwam,6
gzttncjm,tmttncjm,6
abmncwjp,abmncwjp,8
iptydkys,iptydkys,8
madasfqe,madasfqe,8
pzmcjdnw,cmmcjdnw,6
dhjgcrkf,dujgcrkf,7
osagifvt,ofagifvg,6
lupkfnmp,lhpkfnmp,7
nfjtspdm,nfjtspdm,8
jvosdqkm,jiosddkm,6
enffjyti,enffjyti,8
rrbrgmyk,erorgmyk,6
rvihdsmy,riihdszy,6
tucspsco,tucspsco,8
ujnhhaml,ujnhhaml,8
nfsrlmlj,nfsrlmlj,8
pamwjlzh,pamwjlzh,8
pgonvkrp,cgonvkrp,7
ixzsdngx,vxzsdngx,7
kjrvlnjy,kjrvlnjy,8
xqwguvrw,xqwguvrw,8
hopvfxfd,uocvfxfd,6
fbppxzas,soppxzas,6
nmnrenid,amnrenid,7
yfbiymuf,yfbiymuf,8
dmbmdxlh,dmbmdxdh,7
jixocoxc,jixocbxc,7
oknsulmh,oxnsulmh,7
ofgubbli,bsgubblv,5
yxlfyxwb,lxyfyxwb,6
gdadjjeb,gdadjjeb,8
liixffsl,liixffsl,8
pxgfggip,pxgfggip,8
rcdcttbn,rcdcttbn,8
cnlzcasd,pnlzcasd,7
wbncpifw,jbncpifw,7
wrjvnoym,wrwinoym,6
gquhctwu,gduhctwu,7
vcwemdiz,vpwrmdiz,6
sohygexh,sohygexh,8
cvmeqwrl,pimeqwry,5
wnmqqzgs,wamqqzgs,7
nuxgzdaf,nhxgzdaf,7
pqketpoz,pdxetpoz,6
iyrgwpvx,iyrgwpvx,8
vqkshmdq,iqkshmdq,7
nvusdfxg,nvusdfxg,8
yxwyiqbm,yxwyiqbm,8
gwphkyzi,gwphkyzi,8
lcspmird,lpspmirq,6
dcfthvyw,dpfthvyw,7
qcrfixvz,dprfikvm,4
nllcecjq,allcecjq,7
njpmbjpq,nwpmbjpd,6
qwpyyryl,qjpyyryl,7
uermkkih,hermkkih,7
owwwmwxl,owwwmwxl,8
hlzgytfi,hyzgytfi,7
qiaissnf,qiaissnf,8
brobacsd,oeobacsd,6
vwwuyibg,vwwuyibg,8
ggmcibzk,gtmcibzk,7
khokjrud,xhokjrud,7
zhwppnir,zuwppnir,7
uhmfsbva,uumfsbva,7
dbzienfc,dozienfc,7
kghlxmqh,ktulxmqh,6
iktyxvyg,ixtyxvyg,7
gksbdowb,tksbdowb,7
tpxltels,gpxltels,7
xtiaxuge,ktiaxuge,7
nqzmmvcn,nqzmmicn,7
imsgisyt,vmsgisyt,7
jgsutndu,wgsutzdu,6
ymdenjvi,ymdenjvi,8
vxsdleps,vksdleps,7
cleydydx,cleydydx,8
yickslad,lickslad,7
mfdjdcir,mfqjdcir,7
onopprhe,onbpprhe,7
qlokigxp,dlokigxp,7
vmqxiunu,vmqxiuau,7
trqixeor,trqixeor,8
dnoyqopk,qnoyqopk,7
xdbpzkcy,xdbpzkcy,8
zjbndqzw,zwbndqzw,7
xkuqyqgf,xkhqyqgf,7
ozdrjakk,bmdrjavk,5
hjzyuxzq,ujzyuxzq,7
kfxjwoky,kfxjwoky,8
wwkgtviv,wwkgtiiv,7
xgaogiye,kgaogiye,7
qinemmcl,dinemmcl,7
gtcwkjix,tgcwkjix,6
gkrjenqe,gxrjenqe,7
gzolgnxx,gzblgnxx,7
qmmpzdvd,dzmpzdvd,6
ocbfhqex,bcofhqex,6
qyqzkzoi,qlqzkzoi,7
clypspff,cllpscff,6
uuaumcrv,uuaumcrv,8
dmbjmdpm,dzbjmqpm,6
acpjzqwg,acpjzqwg,8
rtomytlc,etomytlc,7
inrunmft,inrunmft,8
tpyapesn,tpyapesn,8
yntixwxq,lngixwxq,6
wxudbarw,wxudbarw,8
yyqxppeu,lydxppru,5
pounjrsg,pbunjrsg,7
sevouuqf,srvouuqf,7
iqmxvivt,vdmxvivt,6
snfqrqlx,snfqrqlx,8
ueavdfvc,henvdfvc,6
ezghzzld,rzghzzld,7
dnsmgpju,dasmgpju,7
abzjqnas,abmjqnas,7
lkbhntqp,lkohntqp,7
hmcyzsip,umcyzsip,7
wdqytoyn,wqqytoyn,7
vefgtufx,vefgtufx,8
oqhoeqfx,bqhoeqfk,6
tkyzrczw,gxyzrczw,6
hbmrffqu,hbmrffqu,8
orpseyrw,bepseyrw,6
xlbxnrnn,xlbxnrnn,8
wpopdlyn,wpopdlyn,8
xaxibhit,kaxibhit,7
ooskozxs,obskozxs,7
fsgurkcy,fsturkcy,7
dulbxvgc,quybxvgc,6
ytotdcef,ytotdcef,8
bqswgqmd,bqswgqmd,8
jfswpznl,jsswpznl,7
fsfvhqcu,ffsvhqcu,6
pqxvlyxd,cqxvlyxd,7
vrezuutg,veezhutg,6
gohzbwkw,gohzbwkw,8
empefdbw,rzpefdbw,6
mqzlogoz,zdzlogoz,6
yremwjmt,yremwjmt,8
yiqzojwp,yidzojwp,7
sxptwnft,sxptjnst,6
mroknadl,mroknadl,8
bfzvcmnr,bszvcmnr,7
girnjetu,tirnjetu,7
zodfjowk,zodsjowk,7
tlhyvgoy,tyuyvgoy,6
poqrxejq,poqrxejq,8
ciqhpvcv,cvqhpvcv,7
aogcamgl,nogcamgl,7
qrcedsai,qrcedsai,8
akrxsfsw,axrxsfsw,7
gcvhfiyy,gcvhfiyy,8
